word,count
생략,3
월요일,3
호수,3
대부분,3
소요,3
날짜,3
진행,3
안내,3
지방,3
수구,3
평점,3
핫,3
보통,3
피큐어,3
금액,3
음식점,3
근교,2
도립,2
순위,2
숙박업소,2
기념품,2
오래,2
가본적,2
해결,2
자,2
인간,2
소통,2
행복,2
전벽,2
공방,2
대체,2
베테랑,2
주안,2
촬영,2
안내소,2
취향,2
대벽,2
광명,2
멋,2
내외,2
동네,2
한잔,2
구여,2
플래너,2
식,2
샵,2
소문,2
완벽,2
타워,2
기전,2
네이버,2
눈,2
일대,2
전주술,2
최저,2
반,2
답,2
여행자,2
부근,2
오스,2
최고,2
청연,2
생활,2
기온,2
신정,2
전국,2
관심,2
그게,2
기분,2
식비,2
피순대,2
주신,2
공간,2
미성년,2
차이,2
대중,2
안정,2
밖,2
아무,2
상황,2
풍년제,2
연인,2
출발지,2
주위,2
경기도,2
담주,2
유적지,2
노선,2
기타,2
반나절,2
김,2
이해,2
다운로드,2
페이지,2
꽃동산,2
구경거리,2
설명,2
원본,2
감영,2
할인,2
최대,2
평택,2
평택역,2
상태,2
지인,2
관,2
편안,2
지,2
여긴,2
고택,2
중요,2
밀집,2
기사,2
일식,2
뻥튀기,2
번화가,2
크리스마스,2
밥,2
의,2
상관,2
평화동,2
담,2
거주,2
키워드,2
열,2
밑,2
야유회,2
기한,2
청주,2
공부,2
간식,2
주도,2
시험,2
기본,2
먹방,2
오랜만,2
무료,2
지금,2
해염,2
후기,2
시절,2
자료,2
차량,2
무궁화호,2
면,2
뿐,2
절약,2
성지,2
치명자,2
연령,2
수변,2
주박,2
한글,2
연계,2
상,2
품평,2
본점,2
비빔,2
인정,2
소유,2
작성,2
새만금,2
최대한,2
냠냠,2
신고,2
수제,2
드립,2
여행객,2
코로나,2
친절,2
현재,2
경치,2
계절,2
분차,2
감명,2
사갈,2
물관,2
주년,2
이벤트,2
화,2
맞춤,2
공장,2
예술,2
팔복,2
계산,2
성미,2
여행사,2
명품,2
성균관,2
시티,2
그때,2
통상,2
민박,2
바닷가,2
순,2
랜드,2
공용,2
장,2
게요,2
휴가철,2
토,2
모주,2
안전,2
계좌,2
전라북도,2
대절,2
소담,2
사투리,2
공연,2
주주,2
최소한,2
마지막,2
기념,2
꽃,2
일반인,2
주일,2
그룹,2
매력,2
환영,2
판단,2
어머님,2
벚꽃,2
전문가,2
라,2
숙박비,2
탐방,2
미터,2
줄,2
토일,2
호,2
요일,2
비교,2
부여,2
만족도,2
백반,2
케이블카,2
식도락,2
파업,2
활동,2
종합,2
자매,2
텐데,2
교통수단,2
장탕,2
주중,1
애니,1
실내,1
붐,1
연비,1
내역,1
시기,1
단골,1
반지,1
전시관,1
오타쿠,1
명동,1
제너,1
장사,1
시스,1
입맛,1
피자,1
차종,1
운전,1
이박,1
사랑,1
공예품,1
부채,1
소도,1
풀코스,1
대신,1
이동수,1
공영,1
물론,1
천변,1
주천,1
국제,1
저택,1
슬로,1
미스터리,1
무박,1
군영,1
지정,1
비온다,1
전통술,1
스캔들,1
코스로,1
약속,1
취소,1
목금,1
폐렴,1
우한,1
닝,1
기름,1
실수,1
일치,1
일본,1
여고,1
공학,1
운치,1
밤바다,1
토월,1
부산처,1
색,1
이색,1
나들이,1
요란,1
교통카드,1
가이드,1
한정,1
광,1
촌은,1
동,1
포장마차,1
피아,1
유튜브,1
직장,1
신곡,1
커피,1
계속,1
로요,1
스터리,1
태의,1
구독,1
형,1
이거,1
고모,1
애용,1
대요,1
권유,1
레스,1
경관,1
나용,1
누구,1
리베라,1
티머니,1
전시물,1
문화유산,1
제일,1
현대판,1
과거,1
포스터,1
속보,1
정오,1
주랑,1
코아,1
망집,1
우울,1
유용,1
문화재,1
얘기,1
집말,1
원정,1
켄들,1
질,1
스,1
하나하나,1
심야,1
막차,1
누나,1
케리어,1
주살,1
행사,1
석갈,1
해수욕장,1
봄날,1
려인,1
전당,1
단순,1
목록,1
맛보기,1
야간,1
주향,1
교문,1
화관,1
통합,1
팔찌,1
조계사,1
황금연휴,1
