word,count
요약,2
지인,2
착용,2
개화,2
편안,2
고속도로,2
봄바람,2
비수기,2
지식인,2
기림사,2
부처,2
천군동,2
이튿날,2
예매,2
연구원,2
기차표,2
환경,2
견이,2
쥴,2
패딩,2
산림,2
해변,2
군요,2
동시,2
쿠지,2
경치,2
有,2
간격,2
골,2
다양,2
그거,2
앱,2
기상,2
저번,2
구미,2
고요,2
생활,2
속,2
쉬엄,2
기온,2
캐리,2
사지,2
어사이즈,2
어려움,2
일출,2
과메기,2
이름,2
최대한,2
이틀,2
관광객,2
어르신,2
스파,2
청년,2
청주,2
최소한,2
양남,2
구체,2
중학,2
예고편,2
입실,2
이주승,2
황동,2
전현무,2
그,2
사월,2
쿤,2
바이러스,2
골든,1
안함,1
시인,1
차편,1
특징,1
반대편,1
이동해,1
오픈,1
발전기,1
뒷길,1
마라톤,1
차량,1
포석,1
거대,1
고속도,1
랜드,1
황남동,1
근덕,1
참석,1
일월,1
보람,1
우측,1
발전소,1
와이프,1
도로,1
당,1
층,1
출입,1
부자,1
오류,1
지장,1
담벽,1
교리,1
고아라,1
간의,1
서경,1
땐,1
군대,1
식비,1
실라,1
전시물,1
공룡,1
용강동,1
시작점,1
비교,1
진현동,1
연결,1
열기구,1
입장표,1
케이티엑스,1
아점,1
코너,1
걸로,1
서악,1
휠체어,1
일곱,1
북부,1
동해안,1
폼,1
삼척,1
검,1
민속,1
매력,1
남,1
대나,1
초록,1
대기,1
인기,1
단풍,1
북남,1
성,1
집중,1
합,1
호구,1
수술,1
과거,1
교통,1
서출지,1
독특,1
으뜸,1
발생,1
마무리,1
면,1
미취학,1
명가,1
초딩,1
매크로,1
횡리,1
주위,1
영화관,1
완전,1
러브,1
캐슬,1
동물원,1
아덴,1
인터넷,1
찹쌀,1
인터,1
도시락,1
램,1
신분,1
핑,1
종이,1
게시,1
ㄷ,1
려고,1
문화엑스포,1
사무소,1
근덕면,1
일상,1
막,1
알뜰,1
트립,1
도너츠,1
계획서,1
제과,1
무릎,1
공예,1
가보,1
연꽃,1
마리안느,1
홍성,1
촌,1
유튜브,1
국도,1
고분,1
이용법,1
꽈배기,1
균,1
저기,1
방문자,1
디저트,1
여학생,1
허브,1
마트,1
트로트,1
기구,1
안내,1
첨보,1
누나,1
이전,1
시흥,1
절감,1
멀,1
경부고속도로,1
황금연휴,1
ㄱ,1
내륙,1
외곽,1
직지사,1
중부,1
이요,1
유용,1
이동수,1
단자,1
월화,1
인파,1
소문,1
차비,1
휴가철,1
셀렉,1
시시,1
당방,1
사역,1
김포,1
별론,1
동행자,1
손,1
눈치,1
처녀,1
바비큐,1
프라이빗,1
강추,1
천국,1
일본인,1
안전,1
식구,1
기행문,1
미실,1
드라마,1
내국인,1
성비,1
고래,1
조정,1
설날,1
지요,1
마찬가진데,1
가려,1
박할,1
아주머니,1
특산물,1
두말,1
잔소리,1
화장실,1
채,1
침대,1
켄싱,1
턴,1
연세,1
번화가,1
숙박비,1
모습,1
고기,1
문어,1
사흘,1
일반,1
작성,1
수기,1
만끽,1
기원,1
돌,1
시민,1
실시,1
개복치,1
언서,1
사절,1
광관,1
값,1
끼,1
이걸,1
대세,1
선덕여왕,1
전동,1
종목,1
글램,1
오려,1
가거,1
든여,1
스카이,1
선물,1
극,1
명절,1
국보,1
비치,1
호,1
지정일,1
교통수단,1
불편,1
오정,1
캘리포니아,1
시부모,1
인사,1
권,1
등반,1
감수,1
전수,1
동산,1
한식,1
여기저기,1
얘기,1
견과,1
수원,1
음악,1
이하,1
보존,1
서프라이즈,1
아니마,1
이외,1
면허,1
핑장,1
다,1
안서,1
그쪽,1
파손,1
부근,1
종,1
안압,1
신중,1
북카페,1
그것,1
하이킹,1
보리,1
경상도,1
한우,1
시경,1
지첨,1
주인공,1
트,1
대월,1
경주타워,1
여인네,1
물회,1
현명,1
고등학교,1
멜레,1
렌,1
걸작,1
호수,1
미회,1
계급,1
키덜트,1
중양,1
보관,1
즉시,1
퇴근,1
영웅,1
직장,1
알바,1
세계,1
지정,1
고충,1
거주,1
아웃,1
물가지,1
앞,1
건축,1
노하우,1
식물원,1
트랜드,1
시즌,1
신경주역,1
비피,1
뉴스,1
기상청,1
옥,1
청공,1
옥스,1
테이,1
여권,1
청소년,1
증,1
코레,1
봉길,1
포석정,1
성덕대왕,1
옵션,1
딸래미,1
개월,1
그곳,1
번국,1
도변,1
무렵,1
자녀,1
진주,1
새벽,1
에서,1
어딘가요,1
이맘때,1
해결책,1
제시,1
황지,1
지역민,1
취향,1
경경,1
조사,1
결과,1
바탕,1
제안,1
전남,1
김,1
선배,1
작년,1
열차,1
정서,1
여동생,1
