rank,title,subtitle,writer,price,grade,image
112,오가미 츠미키와 기일상 2 트리플 특전판,공무원 전 직렬 대비,김종원,"5,400",9.4,https://image.yes24.com/goods/146509656/L
113,돈의 심리학 (30만 부 기념 스페셜 에디션),"기술이 경험을 대체하는 시대, 인간은 계속 인간일 수 있을까",존 스튜어트 밀,"17,820",9.6,https://image.yes24.com/goods/96547408/L
114,영어로 문장 만들기 훈련 1차 임계점,"자음·모음 쓰기, 가나다 배우기",박문재,"19,800",10.0,https://image.yes24.com/goods/128911318/L
115,스위치온 다이어트 레시피북,돈과 시간을 장악하는 1% 부의 법칙,해커스 일본어연구소,"20,700",10.0,https://image.yes24.com/goods/146273598/L
116,혼자서도 잘하는 첫 숫자 쓰기 1,마음의 위기를 다스리는 철학 수업,위혜정,"6,750",9.9,https://image.yes24.com/goods/145583811/L
117,2025 이유진 국어 화제의 모의고사 (봉투형),"유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",김주환,"15,300",9.9,https://image.yes24.com/goods/144962513/L
118,초역 부처의 말 필사집,원하는 삶을 앞당기는 돈 자동 사냥 시스템,브라이언 트레이시,"19,800",9.7,https://image.yes24.com/goods/143527379/L
119,당신은 언제나 괜찮다,종목 발굴부터 피칭까지 월가의 실전 투자 수업,정지현,"17,820",9.2,https://image.yes24.com/goods/145759826/L
120,거꾸로 읽는 세계사,"토익 리딩의 기본서, 문법·독해·어휘에서 실전까지!",한날,"15,750",9.8,https://image.yes24.com/goods/104409067/L
121,총 균 쇠,스페셜 에디션,사이토 다카시,"26,820",9.7,https://image.yes24.com/goods/118755085/L
122,줬으면 그만이지,하버드대 의사가 알려주는 5가지 회복탄력성 리셋 버튼,가와하라 미즈마루,"18,000",10.0,https://image.yes24.com/goods/116433040/L
123,내게 남은 스물다섯 번의 계절,일본 주식시장의 판을 흔들어 깨운 담대한 도전들,권남희,"15,120",9.6,https://image.yes24.com/goods/146341917/L
124,기울어진 평등,,모리시타 미유,"16,020",10.0,https://image.yes24.com/goods/145567281/L
125,인생을 바꾸는 이메일 쓰기,,모건 하우절,"16,020",9.7,https://image.yes24.com/goods/147079292/L
126,5번 레인,,이지연,"11,250",10.0,https://image.yes24.com/goods/92578889/L
127,2025 심우철 실전 동형 모의고사 Season 3,,유은하,"12,960",9.9,https://image.yes24.com/goods/144884439/L
128,2025 써니 행정법총론 실전동형 모의고사,,박용우,"12,600",10.0,https://image.yes24.com/goods/142876578/L
129,경험의 멸종,,김영아,"17,820",9.9,https://image.yes24.com/goods/146657579/L
130,혼자서도 잘하는 첫  한글 쓰기 1,,길벗놀이학습연구소,"6,750",9.8,https://image.yes24.com/goods/140484709/L
131,더 퍼스트,,이유진,"17,820",9.6,https://image.yes24.com/goods/145761530/L
132,고독한 용의자,,코이케 류노스케,"17,550",9.8,https://image.yes24.com/goods/145261633/L
133,행복할 거야 이래도 되나 싶을 정도로,,박재현,"16,200",8.7,https://image.yes24.com/goods/129775130/L
134,마흔에 읽는 쇼펜하우어,,이현수,"15,300",9.4,https://image.yes24.com/goods/122120495/L
135,샤워젤과 소다수,,유시민,"10,800",9.5,https://image.yes24.com/goods/122883845/L
136,피를 마시는 새 출판 20주년 일러스트 특별 한정판 세트,,재레드 다이아몬드,"198,000",9.6,https://image.yes24.com/goods/146965340/L
137,최애의 아이 16 + 컬러링×아이돌 컬러링북 합본 세트,,강주헌,"17,910",10.0,https://image.yes24.com/goods/146928339/L
138,사피엔스,,김주완,"24,120",9.9,https://image.yes24.com/goods/23030284/L
139,단 3개의 미국 ETF로 은퇴하라,,슈테판 셰퍼,"17,820",10.0,https://image.yes24.com/goods/143876385/L
140,완벽한 종목 추천,,전은경,"22,500",9.7,https://image.yes24.com/goods/146740015/L
